"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"104","Howard University",38,25,9,7,8720,325,247,111,8758,350,256,118,73.1,36,76,2.92,3.73,"Private",94,505,3.53,120,92.5,"Yes",23.6842105263158,2.83256880733945,8.36138930321756,"DC"
"105","Florida Atlantic University",2134,217,104,43,1617,105,50,22,3751,322,154,65,47.8,47.93,47.62,4.11,6.49,"Public",34,513,3.8,65,33.85,"Yes",4.87347703842549,3.09214594928881,1.5760824742268,"FL"
"106","Florida International University",2455,357,215,97,2418,155,105,23,4672,553,320,120,57.9,60.42,51.48,6.85,7.74,"Public",19,511,3.79,120,18.33,NA,8.75763747454175,4.3424317617866,2.01675880128019,"FL"
"107","Marshall University",209,146,95,69,1922,56,15,11,2131,202,110,80,54.5,65.07,26.79,5.16,2.91,"Public",14,502,3.7,79,13.92,"No",45.4545454545455,0.780437044745057,58.2424242424242,"WV"
"108","Northeast Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"No",NA,NA,NA,""
"109","Cooper (Rowan)",1205,217,147,82,4780,177,94,29,5985,394,241,111,61.2,67.74,53.11,4.03,3.7,"Public",26,512,3.79,107,27.1,"Yes",12.1991701244813,1.96652719665272,6.20340778670433,"NJ"
"110","Wright State University",1176,258,143,79,6347,135,71,39,7523,393,214,118,54.5,55.43,52.59,2.84,2.13,"Public",33,508,3.73,120,32.5,NA,12.1598639455782,1.11863872695762,10.8702333045894,"OH"
"111","Medical College of Wisconsin",658,282,236,137,4738,329,289,113,5396,611,525,250,85.9,83.69,87.84,9.73,6.94,"Private",45,511,3.73,250,45.2,"No",35.8662613981763,6.09962009286619,5.88008119392939,"WI"
"112","Tulane University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"113","Uniformed Services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"114","Loyola University (Stritch)",1686,166,101,59,13219,484,328,116,14905,650,429,175,66,60.84,67.77,2.88,3.66,"Private",66,512,3.76,165,70.3,"Yes",5.99051008303677,2.48127694984492,2.41428514596534,"IL"
